GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OpenNARS,org.opennars.operator.mental,Feel,72,16,0,0,9,4,1,2,1,2
OpenNARS,org.opennars.operator.mental,FeelSatisfied,13,4,2,0,3,2,2,1,1,1
OpenNARS,org.opennars.operator.mental,FeelBusy,13,4,2,0,3,2,2,1,1,1
OpenNARS,org.opennars.operator.mental,Name,60,4,0,0,8,2,1,1,1,1
OpenNARS,org.opennars.operator.mental,Evaluate,0,48,0,0,0,7,0,2,0,2
OpenNARS,org.opennars.operator.mental,Anticipate,328,227,52,18,73,40,34,12,5,6
OpenNARS,org.opennars.operator.mental,Anticipate.Prediction,12,0,0,0,4,0,1,0,1,0
OpenNARS,org.opennars.operator.mental,Register,14,4,0,0,3,2,1,1,1,1
OpenNARS,org.opennars.operator.mental,Believe,0,58,0,0,0,9,0,2,0,2
OpenNARS,org.opennars.operator.mental,Consider,27,9,0,0,6,3,1,2,1,2
OpenNARS,org.opennars.operator.mental,Want,0,59,0,0,0,8,0,2,0,2
OpenNARS,org.opennars.operator.mental,Doubt,0,19,0,0,0,6,0,2,0,2
OpenNARS,org.opennars.operator.mental,Remind,55,4,0,0,9,2,2,1,2,1
OpenNARS,org.opennars.operator.mental,Hesitate,0,19,0,0,0,6,0,2,0,2
OpenNARS,org.opennars.operator.mental,Wonder,0,48,0,0,0,7,0,2,0,2
OpenNARS,org.opennars.control.concept,ProcessGoal.ExecutablePrecondition,0,21,0,0,0,7,0,1,0,1
OpenNARS,org.opennars.control.concept,ProcessTask,7,62,1,9,2,17,2,6,1,1
OpenNARS,org.opennars.control.concept,ProcessQuestion,24,390,10,74,2,63,11,36,1,4
OpenNARS,org.opennars.control.concept,ProcessJudgment,4,441,3,71,2,84,4,39,1,5
OpenNARS,org.opennars.control.concept,ProcessGoal,162,1108,48,120,30,200,41,51,1,7
OpenNARS,org.opennars.control.concept,ProcessAnticipation,122,545,49,69,20,100,36,28,1,4
OpenNARS,org.opennars.control,TemporalInferenceControl,59,626,26,70,14,112,23,30,1,4
OpenNARS,org.opennars.control,DerivationContext,48,638,13,75,12,144,16,62,3,31
OpenNARS,org.opennars.control,GeneralInferenceControl,10,297,7,21,4,61,8,11,1,4
OpenNARS,org.opennars.plugin.perception,VisionChannel,381,461,31,21,74,83,20,14,1,7
OpenNARS,org.opennars.plugin.perception,SensoryChannel,130,99,6,4,35,23,15,7,12,5
OpenNARS,org.opennars.plugin.perception,VisualSpace,142,283,19,25,27,44,13,15,3,3
OpenNARS,org.opennars.plugin.perception,VisionChannel.Prototype,22,0,0,0,7,0,3,0,3,0
OpenNARS,org.opennars.entity,Item.StringKeyItem,26,0,4,0,6,0,5,0,3,0
OpenNARS,org.opennars.entity,Stamp,175,563,32,69,34,130,26,56,7,24
OpenNARS,org.opennars.entity,Task,32,137,6,14,6,35,6,21,1,16
OpenNARS,org.opennars.entity,Sentence,182,964,52,154,26,176,42,87,2,24
